"Level","Institution","Program_Title","Field","Cost","Language","Link"
"Master's degree","Technische Universität Berlin","Energy Management (MBA)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4545/"
"Bachelor's degree","Technische Hochschule Ingolstadt","Energy Systems and Renewable Energies","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7633/"
"Bachelor's degree","Heilbronn University of Applied Sciences","Energy Systems Engineering and Management","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9592/"
"Master's degree","Furtwangen University","Engineering and Business Management","Mechanical Engineering / Process Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9845/"
"Preparatory course","Heilbronn University of Applied Sciences","Engineering and Informatics Preparatory Programme – ProfiPlus@HHN",NA,NA,NA,"https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9992/"
"Master's degree","SRH University","Engineering and International Business – Renewable Energy, Water and Waste Management (MEng)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4832/"
"Bachelor's degree","Technische Hochschule Ingolstadt","Engineering and Management","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5650/"
"Master's degree","Technische Hochschule Ingolstadt","Engineering and Management","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7168/"
"Bachelor's degree","Martin Luther University Halle-Wittenberg","Engineering and Management","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8409/"
"Bachelor's degree","Rosenheim Technical University of Applied Sciences","Engineering and Management (Specialisation in the International Bachelor of Engineering)","Engineering in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9074/"
"Master's degree","SRH University","Engineering and Sustainable Technology Management – Industry 4.0: Automation, Robotics & 3D Manufacturing (MEng)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6362/"
"Master's degree","SRH University","Engineering and Sustainable Technology Management – Mobility and Automotive Industry (MEng)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6361/"
"Master's degree","SRH University","Engineering and Sustainable Technology Management — Smart Building Technologies (MEng)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6364/"
"Short course and language course","Hochschule München University of Applied Sciences","Engineering for Sustainability","Engineering in general","EUR 1,890","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4973/"
"Master's degree","RWTH Aachen University","Engineering Geohazards (MSc)","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6919/"
"Master's degree","University of Siegen","Engineering of Hydro-Environmental Extremes (HDE)","Civil Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9179/"
"Master's degree","Carl von Ossietzky University of Oldenburg","Engineering of Socio-Technical Systems","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7040/"
"Bachelor's degree","Hochschule München University of Applied Sciences","Engineering Physics and Data Science","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9655/"
"Bachelor's degree","Technical University of Applied Sciences Würzburg-Schweinfurt (THWS)","Engineering Science","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9999/"
"Bachelor's degree","Otto von Guericke University Magdeburg","Engineering Science","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9672/"
"Bachelor's degree","Hamburg University of Technology","Engineering Science","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3748/"
"Bachelor's degree","Hof University of Applied Sciences","Engineering Science (BEng)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9934/"
"Master's degree","Rosenheim Technical University of Applied Sciences","Engineering Sciences (Mechanical & Plastics Engineering / Mechatronics / Electrical Engineering & Information Technology)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4636/"
"Bachelor's degree","University of Tübingen","English and American Studies","English Studies, American Studies",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8918/"
"Master's degree","Osnabrück University","English and American Studies","English Studies, American Studies",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4263/"
"Bachelor's degree","University of Bayreuth","English and American Studies","English Studies, American Studies",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8312/"
"Master's degree","University of Augsburg","English and American Studies","English Studies, American Studies",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6889/"
"Language course","Bauhaus-Universität Weimar","English Intensive Course: English Communication Skills & English for Academic Purposes","Languages and Cultural Studies in general","EUR 750","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5350/"
"Master's degree","University of Regensburg","English Linguistics (MA)","General and Comparative Literature and Linguistics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4286/"
"Master's degree","University of Bonn","English Literatures and Cultures","English Studies, American Studies",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9669/"
"Master's degree","Chemnitz University of Technology","English Studies","English Studies, American Studies",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7692/"
"Master's degree","University of Göttingen","English: Language, Literatures and Cultures","English Studies, American Studies",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4334/"
"Short course","Freie Universität Berlin","Entrepreneurial Leadership in Berlin and Europe","Business and Economics","EUR 1,300","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9028/"
"Master's degree","Magdeburg-Stendal University of Applied Sciences","Entrepreneurship & Innovation Management (MEsIM)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9609/"
"Master's degree","Worms University of Applied Sciences","Entrepreneurship (Master of Arts)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7161/"
"Master's degree","Hochschule München University of Applied Sciences","Entrepreneurship and Digital Transformation","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6972/"
"Short course","HWR Berlin (Berlin School of Economics and Law)","Entrepreneurship and Innovation Management in Germany (EIM)","Business and Economics","EUR 995","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5116/"
"Bachelor's degree","Rhine-Waal University of Applied Sciences","Environment and Energy, BSc","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4223/"
"Master's degree","Technische Hochschule Köln (University of Applied Sciences)","Environment and Resources Management with Focus on Latin America and the Caribbean (Double-Degree Master's Programme between Mexico and Germany)","Land Management, Environmental Architecture",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3985/"
"Master's degree","University of Bayreuth","Environment, Climate Change and Health","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8291/"
"Bachelor's degree","Brandenburg University of Technology Cottbus-Senftenberg","Environmental and Resource Management (BSc)","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4026/"
"Master's degree","Brandenburg University of Technology Cottbus-Senftenberg","Environmental and Resource Management (MSc)","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3681/"
"Master's degree","RPTU University of Kaiserslautern-Landau","Environmental Challenges and Human Responses","Mathematics, Natural Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9647/"
"Master's degree","University of Bayreuth","Environmental Chemistry (MSc)","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4766/"
"Master's degree","Hamburg University of Technology","Environmental Engineering","Civil Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3809/"
"Bachelor's degree","Hof University of Applied Sciences","Environmental Engineering (BEng)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9933/"
"Master's degree","University of Bayreuth","Environmental Geography","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5246/"
"Master's degree","University of Freiburg","Environmental Governance (MEG)","Law, Economics and Social Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3734/"
"Master's degree","RPTU University of Kaiserslautern-Landau","Environmental Pollution Management – Ecotoxicology","Mathematics, Natural Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4302/"
"Master's degree","University of Hohenheim","Environmental Protection and Agricultural Food Production (EnviroFood)","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9111/"
"Master's degree","University of Hohenheim","Environmental Science – Soil, Water and Biodiversity (EnvEuro)","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4564/"
"Master's degree","University of Freiburg","Environmental Sciences","Mathematics, Natural Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4337/"
"Master's degree","RPTU University of Kaiserslautern-Landau","Environmental Sciences (MSc)","Mathematics, Natural Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4548/"
"Bachelor's degree","Rosenheim Technical University of Applied Sciences","Environmental Technology (Specialisation in the International Bachelor of Engineering)","Engineering in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8376/"
"Master's degree","TU Dortmund University","Erasmus Mundus Joint Master - Advanced Methods in Particle Physics","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8299/"
"Master's degree","International Psychoanalytic University Berlin","Erasmus Mundus Joint Master's Programme in Social Psychology of Transformation (SPOT)","Psychology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9866/"
"Master's degree","Karlsruhe Institute of Technology","ERASMUS Mundus Master's Programme EUROPHOTONICS","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4327/"
"Master's degree","Reutlingen University","ESB Business School: European Management Studies (Master of Arts)","Business and Economics",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9614/"
"Master's degree","Reutlingen University","ESB Business School: Global Management and Digital Competencies (Master of Science)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3775/"
"Bachelor's degree","Reutlingen University","ESB Business School: International Business (Bachelor of Science)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3871/"
"Bachelor's degree","Reutlingen University","ESB Business School: International Management Double Degree (IMX) (Bachelor of Science)","Business and Economics",NA,"Other teaching language","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9612/"
"Master's degree","Reutlingen University","ESB Business School: MBA International Management (Full-Time)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4589/"
"Master's degree","Esslingen University of Applied Sciences","Esslingen MBA in International Industrial Management","Industrial Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5426/"
"Master's degree","FAU Erlangen-Nürnberg","Ethics of Textual Cultures","Languages and Cultural Studies in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6907/"
"Master's degree","Humboldt-Universität zu Berlin","Euromasters – MA Contemporary European Studies","Social Science",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3943/"
"Short course","Freie Universität Berlin","Europe, Migration, Refugees","Political Science","EUR 1,850","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4995/"
"Short course","HWR Berlin (Berlin School of Economics and Law)","European Business and Economics Programme (EBEP)","Business and Economics","EUR 1,080","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4941/"
"Bachelor's degree","Technical University of Applied Sciences Wildau","European Business Management","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7665/"
"PhD / Doctorate","Universität Hamburg","European Doctorate in Law & Economics (EDLE)","Law",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4054/"
"Master's degree","University of Tübingen","European Economics (MSc) – Double Degree","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4184/"
"Master's degree","University of Potsdam","European Film Business and Law (Master of Business Administration MBA)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8930/"
"Master's degree","University of Potsdam","European Film Business and Law (Master of Laws)","Law, Economics and Social Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8932/"
"Master's degree","University of Bamberg","European Joint Master's Programme in English and American Studies","English Studies, American Studies",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3905/"
"Master's degree","Leibniz University Hannover","European Legal Practice LLM Joint Degree (Master der Europäischen Rechtspraxis LLM Joint Degree)","Law, Economics and Social Sciences in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3692/"
"Master's degree","University of Tübingen","European Management (MSc) – Double Degree with France, Italy or England","Business and Economics",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4428/"
"Master's degree","Universität Hamburg","European Master in Law & Economics (EMLE)","Law",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3640/"
"Master's degree","Carl von Ossietzky University of Oldenburg","European Master in Migration and Intercultural Relations","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8904/"
"Master's degree","University of Kassel","European Master's in Business Studies (EMBS)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4091/"
"Master's degree","University of Münster","European Master's in Classical Cultures (EMCC)","Classical Philology",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4052/"
"Master's degree","Aschaffenburg University of Applied Sciences","European Master's in Customer Relationship Marketing (MERCURI)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9270/"
"Master's degree","RPTU University of Kaiserslautern-Landau","European Master's in Embedded Computing Systems (EMECS)","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4131/"
"Master's degree","University of Siegen","European Master's in Embedded Intelligence Nanosystems Engineering (EMINENT)","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9767/"
"Master's degree","Leipzig University","European Master's in Global Studies","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3711/"
"Master's degree","FAU Erlangen-Nürnberg","European Master's in Lexicography / Europäischer Master für Lexikographie","Languages and Cultural Studies in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4582/"
"Master's degree","Dortmund University of Applied Sciences and Arts","European Master's in Project Management (EuroMPM)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3996/"
"Master's degree","Carl von Ossietzky University of Oldenburg","European Master's in Renewable Energy (EMRE)","Mathematics, Natural Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8328/"
"Master's degree","RWTH Aachen University","European Mining Course (EMC)","Mining, Metallurgy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8481/"
"Short course","Freie Universität Berlin","European Studies","Political Science","EUR 1,300","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4937/"
"Bachelor's degree","Otto von Guericke University Magdeburg","European Studies (BA)","Political Science",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4188/"
"Master's degree","Otto von Guericke University Magdeburg","European Studies (MA)","Political Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3986/"
"Master's degree","Universität Hamburg","European Studies and European Legal Studies (MA/LLM)","Law",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6263/"
"Master's degree","Bauhaus-Universität Weimar","European Urban Studies (EUS)","Town and Country Planning",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3679/"
"Master's degree","University of Regensburg","European-American Studies (MA)","English Studies, American Studies",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4284/"
"Master's degree","Ludwig-Maximilians-Universität München","Evolution, Ecology and Systematics (Master of Science)","Biology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4033/"
"Master's degree","Furtwangen University","Executive Master of International Business Management MBA","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8929/"
"Master's degree","Hertie School","Executive Master of Public Administration (Executive MPA)","Public Administration",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4123/"
"Master's degree","Technical University of Munich","Executive MBA","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4431/"
"Master's degree","SRH University","Executive MBA General Management","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7074/"
"Master's degree","Technical University of Munich","Executive MBA in Business & IT","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4432/"
"Master's degree","Technical University of Munich","Executive MBA in Innovation & Business Creation","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4089/"
"Master's degree","Julius-Maximilians-Universität Würzburg","Exercise Science & Training","Sport",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8584/"
"Master's degree","Darmstadt University of Applied Sciences","Expanded Media","Performing Arts, Film and Television, Drama",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4677/"
"Master's degree","University of Bayreuth","Experimental Geosciences (MSc)","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3925/"
"Language course","Catholic University of Eichstätt-Ingolstadt","Explore Germany and Bavaria! Intensive German Language and Cultural Studies","Languages and Cultural Studies in general","EUR 649","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9742/"
"Master's degree","HWR Berlin (Berlin School of Economics and Law)","FACT – Finance, Accounting, Controlling and Taxation","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5517/"
"Master's degree","Technical University of Darmstadt","FAME-AIS Functional Advanced Materials Engineering with Artificial Intelligence for Sustainability","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5413/"
"Bachelor's degree","Hochschule Fresenius - University of Applied Sciences","Fashion & Design Management","Design",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7710/"
"Bachelor's degree","Hochschule Fresenius - University of Applied Sciences","Fashion Design","Design",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5617/"
"Bachelor's degree","SRH University","Film & Motion Design (BA)","Performing Arts, Film and Television, Drama",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7804/"
"Master's degree","SRH University","Film, Television and Digital Narratives (MA)","Performing Arts, Film and Television, Drama",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7011/"
"Master's degree","Schmalkalden University of Applied Sciences","Finance (MSc)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8410/"
"Master's degree","Technical University of Munich","Finance and Information Management (FIM)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7650/"
"Master's degree","accadis Hochschule Bad Homburg | University of Applied Sciences","Finance MSc","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9822/"
"Master's degree","Otto von Guericke University Magdeburg","Financial Economics (FINEC)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3594/"
"Master's degree","RPTU University of Kaiserslautern-Landau","Financial Engineering","Mathematics, Natural Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5321/"
"Master's degree","Karlsruhe Institute of Technology","Financial Engineering (MSc, Executive) at HECTOR School","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4552/"
"Master's degree","Kaiserslautern University of Applied Sciences","Financial Services Management","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4583/"
"Short course and language course","Freie Universität Berlin","Flucht und Exil. Migrationsbewegungen in der Literatur des 20. und 21. Jahrhunderts","German Language and Literature (German, Germanic Languages except English)","EUR 1,300","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4938/"
"Master's degree","Julius-Maximilians-Universität Würzburg","FOKUS Life Sciences","Biology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5364/"
"Bachelor's degree","Hochschule Hannover - University of Applied Sciences and Arts","Food Packaging Technology, Bachelor of Engineering (Bilingual)","Agriculture, Food and Beverage Technology",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7749/"
"Master's degree","University of Bayreuth","Food Quality and Safety","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6927/"
"Master's degree","University of Hohenheim","Food Science and Technology","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4456/"
"Master's degree","University of Bayreuth","Food System Sciences (MSc)","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9214/"
"Bachelor's degree","Fulda University of Applied Sciences","Food Technology","Agriculture, Food and Beverage Technology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8955/"
"Master's degree","University of Göttingen","Forest and Ecosystem Sciences (FES)","Forestry, Wood Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6505/"
"Master's degree","Eberswalde University for Sustainable Development","Forest Information Technology (FIT)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3724/"
"Master's degree","University of Freiburg","Forest Sciences","Forestry, Wood Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3735/"
"PhD / Doctorate","University of Göttingen","Forest Sciences and Forest Ecology (PhD)","Forestry, Wood Economics",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3931/"
"Master's degree","Eberswalde University for Sustainable Development","Forestry System Transformation (FST)","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5427/"
"Bachelor's degree","Johannes Gutenberg University Mainz","Franco-German Bachelor of Arts / Licence in German and French Language, Literature and Culture Mainz-Dijon","Languages and Cultural Studies in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4508/"
"Master's degree","Johannes Gutenberg University Mainz","Franco-German Master of Arts in German Studies / Master Recherche Études Germaniques, Mainz-Dijon","German Language and Literature (German, Germanic Languages except English)",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4624/"
"Master's degree","Heidelberg University","Franco-German Master's and Doctoral Programme in History – Deutsch-französisches Master- und Doktorandenprogramm in Geschichtswissenschaften","History",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4067/"
"PhD / Doctorate","Heidelberg University","Franco-German Master's and Doctoral Programme in History – Deutsch-Französisches Master- und Doktorandenprogramm in Geschichtswissenschaften","History",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4377/"
"Master's degree","Freie Universität Berlin","French-German Master's Double-Degree Programme in Physics","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4533/"
"Preparatory course","FH Aachen University of Applied Sciences","Freshman Program of the FH Aachen",NA,NA,NA,"https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5158/"
"Preparatory course","FH Aachen University of Applied Sciences","Freshman Program of the FH Aachen",NA,NA,NA,"https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6525/"
"Preparatory course","FH Aachen University of Applied Sciences","Freshman Program of the FH Aachen",NA,NA,NA,"https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6909/"
"Master's degree","WHU - Otto Beisheim School of Management","Full-Time Master of Business Administration (MBA)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3665/"
"Master's degree","HHL Leipzig Graduate School of Management","Full-time Master's Programme in Management (MSc)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3651/"
"Master's degree","Frankfurt School of Finance & Management","Full-Time MBA","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9760/"
"Master's degree","RWTH Aachen University","Full-Time MBA Digitalisation & Industrial Change","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7123/"
"Master's degree","HHL Leipzig Graduate School of Management","Full-Time MBA in General Management","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3653/"
"Bachelor's degree","Heilbronn University of Applied Sciences","Game Design and Social Impact","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9749/"
"Master's degree","Technische Hochschule Köln (University of Applied Sciences)","Game Development and Research (Master of Arts)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4247/"
"Short course","Technische Universität Berlin","Gaming for Virtual and Augmented Reality","Computer Science","EUR 2,150","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7937/"
"Bachelor's degree","Rhine-Waal University of Applied Sciences","Gender and Diversity, BA","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4375/"
"Short course and language course","Deggendorf Institute of Technology","General Business Bachelor's Exchange Semester","Business and Economics","EUR 72","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5133/"
"Bachelor's degree","OWL University of Applied Sciences and Arts","General Engineering","Engineering in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9167/"
"Short course and language course","Deggendorf Institute of Technology","General Engineering Bachelor's Exchange Semester","Engineering in general","EUR 72","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5058/"
"Master's degree","Hof University of Applied Sciences","General Management (MBA)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4729/"
"Master's degree","University of Cologne","Genetics and Biology of Ageing and Regeneration","Biology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9701/"
"Master's degree","Bielefeld University","Genome Based Systems Biology","Biology",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7221/"
