"Level","Institution","Program_Title","Field","Cost","Language","Link"
"Master's degree","Saarland University","Quantum Engineering","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9736/"
"Master's degree","Leibniz University Hannover","Quantum Engineering (Master of Science)","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8284/"
"Master's degree","University of Siegen","Quantum Science","Mathematics, Natural Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8336/"
"Master's degree","Technical University of Munich","Quantum Science and Technology","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8331/"
"Master's degree","RPTU University of Kaiserslautern-Landau","Quantum Technologies","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9213/"
"Master's degree","RPTU University of Kaiserslautern-Landau","Quantum Technologies and Engineering Erasmus Mundus Master (QuanTEEM)","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8942/"
"Master's degree","Technische Universität Braunschweig","Quantum Technologies in Electrical and Computer Engineering (QTEC)","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8958/"
"Master's degree","RWTH Aachen University","Railway Systems Engineering","Transport Engineering, Nautical Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4881/"
"Master's degree","Ruhr-Universität Bochum","Redesigning the Post-Industrial City (RePIC)","Town and Country Planning",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8960/"
"Master's degree","Kaiserslautern University of Applied Sciences","Refinement of Polymer and Composite Products","Mechanical Engineering / Process Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4398/"
"Master's degree","Dresden University of Technology","Regenerative Biology and Medicine","Biology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4272/"
"PhD / Doctorate","University of Regensburg","Regensburg International Graduate School of Life Sciences (RIGeL)","Biology",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7737/"
"Master's degree","University of Bayreuth","Religion and Global Futures","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8997/"
