"Program_Title","Institution","Level","City","Link","Field","Language","Country","ECTS","Department","Duration","Tuition","Contact_Email","Form","Institution_URL","Credits_Percent","ECTS_Foreign","Cost_per_ECTS","Subjects_Foreign","Linguistic_Requirements"
"Elementary Music and Dance Education","Universität Mozarteum Salzburg","Bachelor","Salzburg","https://www.studienwahl.at/studies/teacher-training-programmes/teacher-training-arts/music-and-movement-education/311-elementary-music-and-dance-education-2-3-salzburg.en.html","Art Studies","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elementary Music and Dance Education","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/teacher-training-programmes/teacher-training-arts/music-and-movement-education/312-elementary-music-and-dance-education-12-3-salzburg.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bassoon","Universität Mozarteum Salzburg","Bachelor","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/355-bassoon-2-3-salzburg.en.html","Art Studies","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bassoon","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/356-bassoon-12-3-salzburg.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Voice","Universität für Musik und darstellende Kunst Wien","Bachelor","Wien","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/voice/416-voice-2-3-wien.en.html","Art Studies","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Voice","Universität Mozarteum Salzburg","Bachelor","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/voice/417-voice-2-3-salzburg.en.html","Art Studies","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Voice","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/voice/418-voice-12-3-salzburg.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Voice","Universität für Musik und darstellende Kunst Graz","Bachelor","Graz","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/voice/419-voice-2-3-graz.en.html","Art Studies","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Voice","Universität für Musik und darstellende Kunst Graz","Master","Graz","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/voice/420-voice-12-3-graz.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guitar","Universität Mozarteum Salzburg","Bachelor","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/string-instruments/441-guitar-2-3-salzburg.en.html","Art Studies","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guitar","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/string-instruments/442-guitar-12-3-salzburg.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Graphic Design and Photography","Kunstuniversität Linz","Bachelor","Linz","https://www.studienwahl.at/studies/art-studies/fine-arts-and-applied-arts/media-design/447-graphic-design-and-photography-2-3-linz.en.html","Art Studies","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harp","Universität Mozarteum Salzburg","Bachelor","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/string-instruments/454-harp-2-3-salzburg.en.html","Art Studies","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harp","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/string-instruments/455-harp-12-3-salzburg.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horn","Universität Mozarteum Salzburg","Bachelor","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/462-horn-2-3-salzburg.en.html","Art Studies","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horn","Universität Mozarteum Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/instruments/wind-instruments-and-percussion/463-horn-12-3-salzburg.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Technical Sciences","Akademie der bildenden Künste Wien","PhD","Wien","https://www.studienwahl.at/studies/art-studies/doctoral-programmes/480-technical-sciences-4-3-wien.en.html","Art Studies","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advanced Materials Science","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/natural-sciences/chemistrybiology-studies/materials-sciences/2-advanced-materials-science-12-3-graz.en.html","Engineering Sciences","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agricultural and Food Economy","Universität für Bodenkultur Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/agriculture/agriculture/5-agricultural-and-food-economy-12-3-wien.en.html","Engineering Sciences","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
