"Level","Programme","Institution","Language"
"Doctoral","Humanites and Social Sciences","University of Ljubljana, Faculty of Arts","English"
"Doctoral","Textile Engineering, Graphic Communication and Textile Design","University of Ljubljana, Faculty of Natural Sciences and Engineering","English"
"Doctoral","Materials Science and Engineering","University of Ljubljana, Faculty of Natural Sciences and Engineering","English"
"Doctoral","Teacher Education and Educational Sciences","University of Ljubljana, Faculty of Education","English"
"Doctoral","Humanites and Social Sciences","University of Ljubljana, Theological Faculty","English"
"Doctoral","Theology","University of Ljubljana, Theological Faculty","English"
"Doctoral","Environmental Protection","University of Ljubljana Faculty of Law","English"
"Doctoral","System Logistics","University of Maribor, Faculty of Logistics","English"
"Doctoral","Physics","University of Nova Gorica, Graduate School","English"
"Doctoral","Humanities","University of Nova Gorica, Graduate School","English"
"Doctoral","Cognitive science of language","University of Nova Gorica, Graduate School","English"
"Doctoral","Karstology","University of Nova Gorica, Graduate School","English"
"Doctoral","Materials","University of Nova Gorica, Graduate School","English"
"Doctoral","Molecular Genetics and Biotechnology","University of Nova Gorica, Graduate School","English"
"Doctoral","Cultural Heritage Studies","University of Nova Gorica, Graduate School","English"
"Doctoral","Environmental Sciences","University of Nova Gorica, Graduate School","English"
"Doctoral","Innovation and Sustainable Business Management in Digital Society","DOBA, Business School","English"
"Doctoral","Knowledge management","International School for Business and Social Studies","English"
"","","","English"
