"Program_Title","Institution","Level","Link","Language","Country","ECTS","Free_Tuition_EU"
"Applied Geosciences","Montanuniversität Leoben","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/mining-sciences/applied-geosciences/33-applied-geosciences-2-3-leoben.en.html","German","Austria",180,"Yes"
"Applied Geosciences","Montanuniversität Leoben","Master","https://www.studienwahl.at/studies/engineering-sciences/mining-sciences/applied-geosciences/34-applied-geosciences-e-12-3-leoben.en.html","English","Austria",NA,"Yes"
"Informatics","Universität Salzburg","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/computer-sciences/computer-sciences/35-informatics-2-3-salzburg.en.html","German","Austria",180,"Yes"
"Informatics","Universität Salzburg","Master","https://www.studienwahl.at/studies/engineering-sciences/computer-sciences/computer-sciences/36-informatics-12-3-salzburg.en.html","German","Austria",NA,"Yes"
"Agricultural Crop Sciences","Universität für Bodenkultur Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/agriculture/agriculture/44-agricultural-crop-sciences-12-3-wien.en.html","German","Austria",NA,"Yes"
"Architecture","Universität Innsbruck","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/60-architecture-2-3-innsbruck.en.html","German","Austria",180,"Yes"
"Architecture","Universität Innsbruck","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/61-architecture-12-3-innsbruck.en.html","German","Austria",NA,"Yes"
"Architecture","Technische Universität Wien","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/62-architecture-2-3-wien.en.html","German","Austria",180,"Yes"
"Architecture","Technische Universität Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/63-architecture-12-3-wien.en.html","German","Austria",NA,"Yes"
"Architecture","Technische Universität Graz","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/64-architecture-2-3-graz.en.html","German","Austria",180,"Yes"
"Architecture","Technische Universität Graz","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/65-architecture-12-3-graz.en.html","German","Austria",NA,"Yes"
"Architecture","Akademie der bildenden Künste Wien","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/66-architecture-2-3-wien.en.html","German","Austria",180,"Yes"
"Architecture","Akademie der bildenden Künste Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/67-architecture-12-3-wien.en.html","German","Austria",NA,"Yes"
"Architecture","Universität für angewandte Kunst Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/68-architecture-e-12-3-wien.en.html","English","Austria",NA,"Yes"
"Architecture","Kunstuniversität Linz","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/69-architecture-2-3-linz.en.html","German","Austria",180,"Yes"
"Architecture","Kunstuniversität Linz","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/70-architecture-12-3-linz.en.html","German","Austria",NA,"Yes"
"Civil and Environmental Engineering","Universität Innsbruck","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/82-civil-and-environmental-engineering-2-3-innsbruck.en.html","German","Austria",180,"Yes"
"Civil Engineering","Universität Innsbruck","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/83-civil-engineering-12-3-innsbruck.en.html","German","Austria",NA,"Yes"
"Civil Engineering","Technische Universität Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/86-civil-engineering-12-3-wien.en.html","German","Austria",NA,"Yes"
