"Title","University_Name","Program_Type","Location","Detail_Link","Area","Language"
"Biotechnology","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/medicinehealth/biomedicine/biotechnology-and-bioprocess-engineering/126-biotechnology-e-12-3-graz.en.html","Engineering Sciences","English"
"Biotechnology","Universität für Bodenkultur Wien","Master","Wien","https://www.studienwahl.at/studies/natural-sciences/biotechnology/food-science-and-biotechnology/128-biotechnology-e-12-3-wien.en.html","Engineering Sciences","English"
"Building Science and Environment","Technische Universität Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/147-building-science-and-environment-e-12-3-wien.en.html","Engineering Sciences","English"
"Chemical and Pharmaceutical Engineering","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/natural-sciences/153-chemical-and-pharmaceutical-engineering-e-12-3-graz.en.html","Engineering Sciences","English"
"Logic and Computation","Technische Universität Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/computer-sciences/computer-sciences/169-logic-and-computation-e-12-3-wien.en.html","Engineering Sciences","English"
"Visual Computing","Technische Universität Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/technology/computer-sciences/172-visual-computing-12-3-wien.en.html","Engineering Sciences","German"
"Computer Mathematics","Universität Linz","Master","Linz","https://www.studienwahl.at/studies/natural-sciences/mathematicsphysics-studies/technical-mathematics/173-computer-mathematics-e-12-3-linz.en.html","Engineering Sciences","English"
"Embedded Systems","Technische Universität Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/technology/electrical-engineering/174-embedded-systems-12-3-wien.en.html","Engineering Sciences","German"
"Natural Resources and Life Sciences","Universität für Bodenkultur Wien","PhD","Wien","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/181-natural-resources-and-life-sciences-4-3-wien.en.html","Engineering Sciences","German"
"Computer Sciences","Universität Innsbruck","PhD","Innsbruck","https://www.studienwahl.at/studies/engineering-sciences/phd/185-computer-sciences-4-3-innsbruck.en.html","Engineering Sciences","German"
"Mining Sciences","Montanuniversität Leoben","PhD","Leoben","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/194-mining-sciences-4-3-leoben.en.html","Engineering Sciences","German"
"Natural Sciences","Universität Linz","PhD","Linz","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/199-natural-sciences-4-3-linz.en.html","Engineering Sciences","German"
"Natural Sciences in the Field of Life Sciences","Universität Wien","PhD","Wien","https://www.studienwahl.at/studies/engineering-sciences/phd/214-natural-sciences-in-the-field-of-life-sciences-4-3-wien.en.html","Engineering Sciences","German"
"Engineering Sciences","Universität Innsbruck","PhD","Innsbruck","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/241-engineering-sciences-4-3-innsbruck.en.html","Engineering Sciences","German"
"Engineering Sciences","Technische Universität Wien","PhD","Wien","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/242-engineering-sciences-4-3-wien.en.html","Engineering Sciences","German"
"Technical Sciences","Technische Universität Graz","PhD","Graz","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/243-technical-sciences-4-3-graz.en.html","Engineering Sciences","German"
"Engineering Sciences","Universität Linz","PhD","Linz","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/244-engineering-sciences-4-3-linz.en.html","Engineering Sciences","German"
"Technology","Universität Klagenfurt","PhD","Klagenfurt","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/245-technology-4-3-klagenfurt.en.html","Engineering Sciences","German"
