"Title","University","Degree","Duration","Tuition","Link","Language"
"General Practice Nursing","Utenos kolegija / Higher Education Institution","Bachelor's studies (college)",3.5,3005,"https://studyin.lt/programs/general-practice-nursing-4/","English"
"Physiotherapy","Utenos kolegija / Higher Education Institution","Bachelor's studies (college)",3,2400,"https://studyin.lt/programs/physiotherapy-9/","English"
"Odontological Care","Utenos kolegija / Higher Education Institution","Bachelor's studies (college)",3,1980,"https://studyin.lt/programs/odontological-care/","English"
"Foodstuff Technology","Utenos kolegija / Higher Education Institution","Bachelor's studies (college)",3,1980,"https://studyin.lt/programs/foodstuff-technology/","English"
"Information Systems Engineering","Utenos kolegija / Higher Education Institution","Bachelor's studies (college)",3,3005,"https://studyin.lt/programs/information-systems-engineering-2/","English"
"Automatic Control Systems","Utenos kolegija / Higher Education Institution","Bachelor's studies (college)",3,2400,"https://studyin.lt/programs/automatic-control-systems/","English"
"Environment Protection Engineering","Utenos kolegija / Higher Education Institution","Bachelor's studies (college)",3,1980,"https://studyin.lt/programs/environment-protection-engineering/","English"
"Security Policy and Diplomacy","Mykolas Romeris University","Master‘s studies",1.5,4606,"https://studyin.lt/programs/international-politicy-studies/","English"
"Logistics Management","Mykolas Romeris University","Master‘s studies",1.5,4606,"https://studyin.lt/programs/logistics-management/","English"
"Performing Arts","Vytautas Magnus University","Master‘s studies",2,9887,"https://studyin.lt/programs/performing-arts/","English"
"Future Media and Journalism","Vytautas Magnus University","Master‘s studies",1.5,4384,"https://studyin.lt/programs/future-media-and-journalism/","English"
"Sociolinguistics and Multilingualism","Vytautas Magnus University","Master‘s studies",2,250,"https://studyin.lt/programs/sociolinguistics-and-multilingualism/","English"
"Marketing and International Commerce","Vytautas Magnus University","Master‘s studies",2,4384,"https://studyin.lt/programs/marketing-and-international-commerce/","English"
"Exercise, Nutrition and Stress Management","Lithuanian Sports University","Bachelor's studies (university)",4,4000,"https://studyin.lt/programs/physical-activity-and-lifestyle/","English"
"BSc Sports and Tourism Management","Lithuanian Sports University","Bachelor's studies (university)",3,3100,"https://studyin.lt/programs/sports-and-tourism-management/","English"
"PhD Biology","Lithuanian Sports University","Doctoral studies",4,5075,"https://studyin.lt/programs/phd-biology-physiology/","English"
"BSc Sports Coaching","Lithuanian Sports University","Bachelor's studies (university)",4,5400,"https://studyin.lt/programs/sports-coaching/","English"
"BSc Physiotherapy","Lithuanian Sports University","Bachelor's studies (university)",4,2990,"https://studyin.lt/programs/physiotherapy-4/","English"
"PhD Social Sciences: Education","Lithuanian Sports University","Doctoral studies",4,5790,"https://studyin.lt/programs/social-sciences-education/","English"
"International Master in Performance Analysis of Sport","Lithuanian Sports University","Master‘s studies",2,1976,"https://studyin.lt/programs/international-master-in-performance-analysis-of-sport/","English"
"International MSc Basketball Coaching and Management","Lithuanian Sports University","Master‘s studies",2,2000,"https://studyin.lt/programs/international-basketball-coaching-and-management/","English"
"MSc Sports Physiology","Lithuanian Sports University","Master‘s studies",2,1976,"https://studyin.lt/programs/sports-physiology-and-genetics/","English"
"MSc Physiotherapy","Lithuanian Sports University","Master‘s studies",2,1976,"https://studyin.lt/programs/physiotherapy-2/","English"
"MSc Physical Activity and Public Health","Lithuanian Sports University","Master‘s studies",2,1976,"https://studyin.lt/programs/physical-activity-and-public-health/","English"
"Social Anthropology","Vytautas Magnus University","Master‘s studies",2,4384,"https://studyin.lt/programs/social-anthropology/","English"
"Applied Informatics","Vytautas Magnus University","Master‘s studies",2,5266,"https://studyin.lt/programs/applied-informatics/","English"
"Molecular Biology and Biotechnology","Vytautas Magnus University","Master‘s studies",2,5266,"https://studyin.lt/programs/molecular-biology-and-biotechnology/","English"
"Diplomacy and International Relations","Vytautas Magnus University","Master‘s studies",2,4384,"https://studyin.lt/programs/diplomacy-and-international-relations/","English"
"Sociology and Anthropology: specialization Society, Culture and Communication","Vytautas Magnus University","Bachelor's studies (university)",4,2954,"https://studyin.lt/programs/society-culture-and-communication/","English"
"Political Studies: World Politics and Economy","Vytautas Magnus University","Bachelor's studies (university)",4,2954,"https://studyin.lt/programs/world-politics-and-economy/","English"
"Political studies: International Politics and Development Studies","Vytautas Magnus University","Bachelor's studies (university)",4,2954,"https://studyin.lt/programs/international-politics-and-development-studies/","English"
"Environmental Science and Protection","Vytautas Magnus University","Bachelor's studies (university)",4,3836,"https://studyin.lt/programs/environmental-science/","English"
"Biotechnology","Vytautas Magnus University","Bachelor's studies (university)",4,3836,"https://studyin.lt/programs/biotechnology/","English"
"Biology and Genetics","Vytautas Magnus University","Bachelor's studies (university)",4,3836,"https://studyin.lt/programs/biology-and-genetics/","English"
"Informatics Systems","Vytautas Magnus University","Bachelor's studies (university)",4,3836,"https://studyin.lt/programs/informatics-systems/","English"
"English Philology","Vytautas Magnus University","Bachelor's studies (university)",4,3836,"https://studyin.lt/programs/english-philology/","English"
"Business Administration","Vytautas Magnus University","Bachelor's studies (university)",4,2954,"https://studyin.lt/programs/business-administration/","English"
"General Practice Nursing","Šiaulių valstybinė kolegija / Higher Education Institution","Bachelor's studies (college)",3.5,3300,"https://studyin.lt/programs/general-practice-nursing-3/","English"
"Information Systems Technology","Šiaulių valstybinė kolegija / Higher Education Institution","Bachelor's studies (college)",3,3300,"https://studyin.lt/programs/information-systems-technology/","English"
"Education","Kaunas University of Technology","Doctoral studies",4,0,"https://studyin.lt/programs/education/","English"
"Economics","Kaunas University of Technology","Doctoral studies",4,0,"https://studyin.lt/programs/economics-2/","English"
"Management","Kaunas University of Technology","Doctoral studies",4,0,"https://studyin.lt/programs/management/","English"
"Political Sciences","Kaunas University of Technology","Doctoral studies",4,0,"https://studyin.lt/programs/political-sciences/","English"
"Measurement Engineering","Kaunas University of Technology","Doctoral studies",4,0,"https://studyin.lt/programs/measurement-engineering/","English"
"History and Theory of Arts","Kaunas University of Technology","Doctoral studies",4,0,"https://studyin.lt/programs/history-and-theory-of-arts/","English"
"Mechanical Engineering","Kaunas University of Technology","Doctoral studies",4,0,"https://studyin.lt/programs/mechanical-engineering-6/","English"
"Materials Engineering","Kaunas University of Technology","Doctoral studies",4,0,"https://studyin.lt/programs/materials-engineering/","English"
"Informatics Engineering","Kaunas University of Technology","Doctoral studies",4,0,"https://studyin.lt/programs/informatics-engineering-2/","English"
"Energetics and Power Engineering","Kaunas University of Technology","Doctoral studies",4,0,"https://studyin.lt/programs/energetics-and-power-engineering/","English"
"Chemical Engineering","Kaunas University of Technology","Doctoral studies",4,0,"https://studyin.lt/programs/chemical-engineering-2/","English"
"Environmental Engineering","Kaunas University of Technology","Doctoral studies",4,0,"https://studyin.lt/programs/environmental-engineering-2/","English"
"Transport Engineering","Kaunas University of Technology","Doctoral studies",4,0,"https://studyin.lt/programs/transport-engineering/","English"
"Civil Engineering","Kaunas University of Technology","Doctoral studies",4,0,"https://studyin.lt/programs/civil-engineering-3/","English"
"Electrical and Electronic Engineering","Kaunas University of Technology","Doctoral studies",4,0,"https://studyin.lt/programs/electrical-and-electronic-engineering/","English"
"Informatics","Kaunas University of Technology","Doctoral studies",4,0,"https://studyin.lt/programs/informatics-5/","English"
"Chemistry","Kaunas University of Technology","Doctoral studies",4,0,"https://studyin.lt/programs/chemistry/","English"
"Physics","Kaunas University of Technology","Doctoral studies",4,0,"https://studyin.lt/programs/physics/","English"
"Automotive Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Master‘s studies",2,5266,"https://studyin.lt/programs/automotive-engineering-2/","English"
"Computer Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Master‘s studies",2,5266,"https://studyin.lt/programs/computer-engineering-2/","English"
"Aerospace Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Master‘s studies",2,5266,"https://studyin.lt/programs/aviation-mechanics-engineering/","English"
"Mechanical Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Master‘s studies",2,5266,"https://studyin.lt/programs/mechanical-engineering-5/","English"
"Global Economics","Vilnius Gediminas Technical University (VILNIUS TECH)","Master‘s studies",1.5,4384,"https://studyin.lt/programs/economics-engineering-3/","English"
"Information and Information Technologies Security","Vilnius Gediminas Technical University (VILNIUS TECH)","Master‘s studies",2,5266,"https://studyin.lt/programs/information-and-information-technologies-security/","English"
"Financial Engineering (FinTech)","Vilnius Gediminas Technical University (VILNIUS TECH)","Master‘s studies",1.5,4384,"https://studyin.lt/programs/financial-engineering-2/","English"
"Structural Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Master‘s studies",2,5266,"https://studyin.lt/programs/structural-engineering/","English"
"Mechatronics Systems","Vilnius Gediminas Technical University (VILNIUS TECH)","Master‘s studies",2,5157,"https://studyin.lt/programs/mechatronics-systems/","English"
"Industrial Engineering and Innovation Management","Vilnius Gediminas Technical University (VILNIUS TECH)","Master‘s studies",2,5157,"https://studyin.lt/programs/industrial-engineering-and-innovation-management/","English"
