"University","Programme","City","Study_Level","Study_Type","Study_Language","Price"
"ISTANBUL UNIVERSITY","AMERICAN CULTURE AND LITERATURE PR. (ENGLISH)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","ANCIENT GREEK LANGUAGE AND LITERATURE PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","ANTHROPOLOGY PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","ARABIC LANGUAGE AND LITERATURE PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ARABIC (30%)","22.000,00  TL"
"ISTANBUL UNIVERSITY","ARABIC TRANSLATION AND INTERPRETING PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ARABIC (30%)",""
"ISTANBUL UNIVERSITY","ARABIC TRANSLATION AND INTERPRETING PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ARABIC (30%)","1.400,00  TL"
"ISTANBUL UNIVERSITY","ART HISTORY PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","CHINESE LANGUAGE AND LITERATURE PR. (CHINESE)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","CHINESE","22.000,00  TL"
"ISTANBUL UNIVERSITY","CLASSICAL ARCHAEOLOGY PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","CONSERVATION AND RESTORATION OF CULTURAL PROPERTIES PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","ENGLISH LANGUAGE AND LITERATURE PR. (ENGLISH)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","ENGLISH LANGUAGE AND LITERATURE PR. (ENGLISH) (INTERNATIONAL DUAL DIPLOMA PROGRAM - ULUSLARARASI SARAYBOSNA ÜNİVERSİTESİ) (PAID)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH",""
"ISTANBUL UNIVERSITY","ENGLISH TRANSLATION AND INTERPRETATION PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH (30%)","22.000,00  TL"
"ISTANBUL UNIVERSITY","FRENCH LANGUAGE AND LITERATURE PR. (FRENCH)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","FRENCH","22.000,00  TL"
"ISTANBUL UNIVERSITY","FRENCH TRANSLATION AND INTERPRETATION PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","FRENCH (30%)",""
"ISTANBUL UNIVERSITY","FRENCH TRANSLATION AND INTERPRETATION PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","FRENCH (30%)","22.000,00  TL"
"ISTANBUL UNIVERSITY","GEOGRAPHY PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","GERMAN LANGUAGE AND LITERATURE PR. (GERMAN)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","GERMAN","22.000,00  TL"
"ISTANBUL UNIVERSITY","GERMAN TRANSLATION AND INTERPRETATION PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","GERMAN (%30)","1.400,00  TL"
"ISTANBUL UNIVERSITY","HISTORY OF SCIENCE PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","HISTORY PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","HITTITOLOGY PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","INFORMATION AND RECORDS MANAGEMENT PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","ITALIAN LANGUAGE AND LITERATURE PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ITALIAN (30%)",""
"ISTANBUL UNIVERSITY","ITALIAN LANGUAGE AND LITERATURE PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ITALIAN (30%)","22.000,00  TL"
"ISTANBUL UNIVERSITY","KOREAN LANGUAGE AND LITERATURE PR. (KOREAN)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","KOREAN","22.000,00  TL"
"ISTANBUL UNIVERSITY","LATIN LANGUAGE AND LITERATURE PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","LINGUISTICS PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","MODERN GREEK LANGUAGE AND LITERATURE PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","GREEK (30%)","22.000,00  TL"
"ISTANBUL UNIVERSITY","MODERN TURKISH DIALECTS AND LITERATURES PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","MUSEOLOGY PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH",""
"ISTANBUL UNIVERSITY","PERSIAN LANGUAGE AND LITERATURE PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","PHILOSOPHY PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","POLISH LANGUAGE AND LITERATURE PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","POLISH (30%)","22.000,00  TL"
"ISTANBUL UNIVERSITY","PREHISTORIC ARCHAEOLOGY PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","PROTOHISTORY AND ASIA MINOR ARCHAEOLOGY PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","PSYCHOLOGY PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","RUSSIAN LANGUAGE AND LITERATURE PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","RUSSIAN (30%)","22.000,00  TL"
"ISTANBUL UNIVERSITY","SOCIOLOGY PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","SPANISH LANGUAGE AND LITERATURE PR. (SPANISH)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","SPANISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","THEATRE CRITIC TEACHING AND DRAMATURGY PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","TURKISH LANGUAGE AND LITERATURE PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","UKRAINIAN LANGUAGE AND LITERATURE PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","UKRAINIAN (30%)","22.000,00  TL"
"ISTANBUL UNIVERSITY","URDU LANGUAGE AND LITERATURE PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","22.000,00  TL"
"ISTANBUL UNIVERSITY","NURSING PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","60.000,00  TL"
"ISTANBUL UNIVERSITY","BUSINESS ADMINISTRATION PR. (OPEN EDUCATION)","İSTANBUL","Bachelor's Level","OPEN EDUCATION","TURKISH","2.500,00  TL"
"ISTANBUL UNIVERSITY","CHILD DEVELOPMENT PR. (OPEN EDUCATION)","İSTANBUL","Bachelor's Level","OPEN EDUCATION","TURKISH","2.500,00  TL"
"ISTANBUL UNIVERSITY","ECONOMICS PR. (OPEN EDUCATION)","İSTANBUL","Bachelor's Level","OPEN EDUCATION","TURKISH","2.500,00  TL"
"ISTANBUL UNIVERSITY","EXERCISE AND SPORTS SCIENCES PR. (OPEN EDUCATION)","İSTANBUL","Bachelor's Level","OPEN EDUCATION","TURKISH","2.500,00  TL"
"ISTANBUL UNIVERSITY","GEOGRAPHY PR. (OPEN EDUCATION)","İSTANBUL","Bachelor's Level","OPEN EDUCATION","TURKISH","2.500,00  TL"
"ISTANBUL UNIVERSITY","HISTORY PR. (OPEN EDUCATION)","İSTANBUL","Bachelor's Level","OPEN EDUCATION","TURKISH","2.500,00  TL"
"ISTANBUL UNIVERSITY","HUMAN RESOURCE MANAGEMENT PR. (OPEN EDUCATION)","İSTANBUL","Bachelor's Level","OPEN EDUCATION","TURKISH","2.500,00  TL"
