Institution,latitude,longitude
Antwerp Maritime Academy,NA,NA
KU Leuven,NA,NA
Vrije Universiteit Brussel,NA,NA
Erasmus Brussels University of Applied Sciences And Arts,NA,NA
"KU Leuven
														
																																									UCLL University of Applied Sciences",NA,NA
"Ghent University
														
																																									Vrije Universiteit Brussel",NA,NA
Ghent University,NA,NA
Hasselt University,NA,NA
Antwerp Management School,NA,NA
HOGENT University of Applied Sciences and Arts,NA,NA
"KU Leuven
														
																																									University of Antwerp",NA,NA
"KU Leuven
														
																																									University of Antwerp
														
																																									Vrije Universiteit Brussel",NA,NA
"Hasselt University
														
																																									KU Leuven",NA,NA
"Ghent University
														
																																									KU Leuven",NA,NA
"KU Leuven
														
																																									Vrije Universiteit Brussel",NA,NA
"Ghent University
														
																																									University of Antwerp
														
																																									Vrije Universiteit Brussel",NA,NA
Vlerick Business School,NA,NA
"Ghent University
														
																																									Hasselt University
														
																																									KU Leuven
														
																																									University of Antwerp
														
																																									Vrije Universiteit Brussel",NA,NA
"Ghent University
														
																																									KU Leuven
														
																																									Vrije Universiteit Brussel",NA,NA
Institute of Tropical Medicine,NA,NA
"Ghent University
														
																																									KU Leuven
														
																																									University of Antwerp
														
																																									Vrije Universiteit Brussel",NA,NA
"Antwerp Maritime Academy
														
																																									Ghent University",NA,NA
Ecole supérieure des Arts Saint-Luc de Bruxelles,NA,NA
Arts²,NA,NA
École Supérieure des Arts Saint-Luc Liège,NA,NA
Université de Mons,NA,NA
Université catholique de Louvain,NA,NA
Ecole supérieure des Arts – Ecole de Recherche graphique,NA,NA
Institut supérieur de Musique et Pédagogie,NA,NA
Haute Ecole Francisco Ferrer,NA,NA
Académie royale des Beaux-Arts de la Ville de Bruxelles,NA,NA
Haute Ecole ICHEC - ECAM - ISFSC,NA,NA
Université libre de Bruxelles,NA,NA
Université de Namur,NA,NA
Institut des Arts de Diffusion,NA,NA
Conservatoire royal de Liège,NA,NA
Haute Ecole de la ville de Liège,NA,NA
Haute Ecole Albert Jacquard,NA,NA
Haute Ecole en Hainaut,NA,NA
Haute Ecole Ephec,NA,NA
Haute École Louvain en Hainaut,NA,NA
Haute Ecole Libre Mosane,NA,NA
Haute Ecole provinciale de Hainaut – Condorcet,NA,NA
Haute Ecole Bruxelles-Brabant,NA,NA
Haute École de Namur-Liège-Luxembourg,NA,NA
Haute Ecole Charlemagne,NA,NA
Haute Ecole Robert Schuman,NA,NA
Haute Ecole de la Province de Liège,NA,NA
Haute Ecole Léonard de Vinci,NA,NA
Université de Liège,NA,NA
Haute Ecole de la Province de Namur,NA,NA
Haute Ecole Lucia de Brouckère,NA,NA
Haute École Libre de Bruxelles Ilya Prigogine,NA,NA
ESA Saint-Luc Tournai,NA,NA
Ecole supérieure des Arts du Cirque,NA,NA
Institut national supérieur des arts du spectacle et des techniques de diffusion,NA,NA
Académie des Beaux-Arts de Tournai,NA,NA
Ecole nationale supérieure des Arts visuels de La Cambre,NA,NA
Beaux-arts de Liège - Ecole supérieure des Arts,NA,NA
Ecole supérieure des Arts de l’Image « Le 75 »,NA,NA
Haute École Galilée - IHECS,NA,NA
Conservatoire royal de Bruxelles,NA,NA
faculty of economics and business in rijeka,NA,NA
university of dubrovnik,NA,NA
university of zagreb,NA,NA
algebra bernays university,NA,NA
rit croatia in zagreb,NA,NA
vern' university in zagreb,NA,NA
university of rijeka,NA,NA
rit croatia in dubrovnik,NA,NA
libertas international university in zagreb,NA,NA
university of split,NA,NA
university in zagreb,NA,NA
university of zadar,NA,NA
university j. j. strossmayer in osijek,NA,NA
zagreb school of economics and management,NA,NA
university josip j. j. strossmayer in osijek,NA,NA
zagreb university of applied sciences,NA,NA
university juraj dobrila in pula,NA,NA
juraj dobrila university of pula,NA,NA
university north,NA,NA
University Of Cyprus,NA,NA
Neapolis University,NA,NA
Frederick University,NA,NA
University of Nicosia,NA,NA
European University Cyprus,NA,NA
Open University of Cyprus,NA,NA
CIIM,NA,NA
University of Central Lancashire Cyprus (UCLan Cyprus),NA,NA
Cyprus Institute,NA,NA
Cyprus University of Technology,NA,NA
Cyprus Institute of Marketing,NA,NA
Institute of Neurology & Genetics,NA,NA
University of Southern Denmark (SDU),NA,NA
Copenhagen Business School (CBS),NA,NA
University of Copenhagen (UCPH),NA,NA
The Royal Opera Academy,NA,NA
Aalborg University (AAU),NA,NA
Aarhus University (AU),NA,NA
Technical University of Denmark (DTU),NA,NA
VIA University College,NA,NA
KEA - Copenhagen School of Design and Technology,NA,NA
University College of Northern Denmark (UCN),NA,NA
Aarhus School of Architecture,NA,NA
"Royal Danish Academy -  Architecture, Design and Conservation",NA,NA
Funen Art Academy,NA,NA
The Royal Danish Academy of Music,NA,NA
Roskilde University (RUC),NA,NA
University College Absalon,NA,NA
The Royal Academy of Music - Aarhus/Aalborg,NA,NA
Danish National Academy of Music,NA,NA
IT University of Copenhagen (ITU),NA,NA
Business Academy SouthWest,NA,NA
Danish School of Media and Journalism (DMJX),NA,NA
UCL University College,NA,NA
Kolding School of Design,NA,NA
Business Academy Aarhus,NA,NA
University College Copenhagen,NA,NA
International Business Academy (IBA),NA,NA
Dania Academy,NA,NA
University College South Denmark,NA,NA
Copenhagen Business Academy,NA,NA
Estonian University of Life Sciences,NA,NA
Estonian Academy of Music and Theatre,NA,NA
Estonian Aviation Academy,NA,NA
University of Tartu,NA,NA
Estonian Entrepreneurship University of Applied Sciences,NA,NA
Estonian Business School,NA,NA
Tallinn University of Technology,NA,NA
Tallinn University,NA,NA
Baltic Methodist Theological Seminary,NA,NA
Tallinn Health Care College,NA,NA
Estonian Academy of Arts,NA,NA
Tallinn University/ Estonian Academy of Arts,NA,NA
Estonian Academy of Music and Theatre/ EBS,NA,NA
Tartu Applied Health Sciences University,NA,NA
Estonian University of Life Sciences / University of Tartu,NA,NA
Martin Luther University Halle-Wittenberg,NA,NA
Osnabrück University of Applied Sciences,NA,NA
Trier University,NA,NA
SRH University,NA,NA
University of Cologne,NA,NA
Friedrich Schiller University Jena,NA,NA
Internationale Hochschule SDI München/International University SDI München,NA,NA
University of Passau,NA,NA
Leipzig University,NA,NA
Freie Universität Berlin,NA,NA
Johannes Gutenberg University Mainz,NA,NA
Heilbronn University of Applied Sciences,NA,NA
RPTU University of Kaiserslautern-Landau,NA,NA
Julius-Maximilians-Universität Würzburg,NA,NA
Chemnitz University of Technology,NA,NA
RWTH Aachen University,NA,NA
Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau,NA,NA
Rosenheim Technical University of Applied Sciences,NA,NA
Osnabrück University,NA,NA
Justus Liebig University Giessen,NA,NA
TU Bergakademie Freiberg,NA,NA
University of Tübingen,NA,NA
University of Hohenheim,NA,NA
Technical University of Munich,NA,NA
Universität Hamburg,NA,NA
University of Bayreuth,NA,NA
Rhine-Waal University of Applied Sciences,NA,NA
University of Bonn,NA,NA
University of Kassel,NA,NA
University of Technology Nuremberg,NA,NA
Furtwangen University,NA,NA
Technische Hochschule Ingolstadt,NA,NA
Hof University of Applied Sciences,NA,NA
University of Stuttgart,NA,NA
Dresden University of Technology,NA,NA
Saarland University,NA,NA
Coburg University of Applied Sciences and Arts,NA,NA
University of Potsdam,NA,NA
University of Konstanz,NA,NA
Deggendorf Institute of Technology,NA,NA
Hochschule Bonn-Rhein-Sieg,NA,NA
Ansbach University of Applied Sciences,NA,NA
Schmalkalden University of Applied Sciences,NA,NA
University of Göttingen,NA,NA
University of Wuppertal,NA,NA
University of Bremen,NA,NA
Weihenstephan-Triesdorf University of Applied Sciences,NA,NA
Ruhr-Universität Bochum,NA,NA
University of Koblenz,NA,NA
Anhalt University of Applied Sciences,NA,NA
"Hochschule Wismar - University of Applied Sciences, Technology, Business and Design",NA,NA
Universität zu Lübeck,NA,NA
Brandenburg University of Technology Cottbus-Senftenberg,NA,NA
FAU Erlangen-Nürnberg,NA,NA
Heinrich Heine University Düsseldorf,NA,NA
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),NA,NA
Technische Universität Braunschweig,NA,NA
Technische Hochschule Köln (University of Applied Sciences),NA,NA
TU Dortmund University,NA,NA
University of Duisburg-Essen,NA,NA
Technische Hochschule Mannheim,NA,NA
Ostfalia University of Applied Sciences - Hochschule Braunschweig/Wolfenbüttel,NA,NA
Esslingen University of Applied Sciences,NA,NA
Worms University of Applied Sciences,NA,NA
Berlin International University of Applied Sciences,NA,NA
Europa-Universität Flensburg,NA,NA
Heidelberg University,NA,NA
"Bard College Berlin, a Liberal Arts University",NA,NA
Technical University of Applied Sciences Würzburg-Schweinfurt (THWS),NA,NA
Stralsund University of Applied Sciences,NA,NA
University of Applied Management Studies,NA,NA
Pforzheim University,NA,NA
Hochschule für Technik und Wirtschaft Dresden – University of Applied Sciences,NA,NA
Kühne Logistics University,NA,NA
University of Bamberg,NA,NA
Darmstadt University of Applied Sciences,NA,NA
Constructor University,NA,NA
FH Aachen University of Applied Sciences,NA,NA
Carl von Ossietzky University of Oldenburg,NA,NA
Technische Hochschule Nürnberg Georg Simon Ohm,NA,NA
Zeppelin University,NA,NA
Technische Universität Ilmenau,NA,NA
Hochschule Geisenheim University,NA,NA
University of Münster,NA,NA
Frankfurt School of Finance & Management,NA,NA
WHU - Otto Beisheim School of Management,NA,NA
EBS Universität für Wirtschaft und Recht,NA,NA
HTW Berlin University of Applied Sciences,NA,NA
Bielefeld University,NA,NA
Hochschule Bielefeld – University of Applied Sciences and Arts (HSBI),NA,NA
Technical University of Applied Sciences Wildau,NA,NA
Humboldt-Universität zu Berlin,NA,NA
Technische Universität Berlin,NA,NA
HWR Berlin (Berlin School of Economics and Law),NA,NA
Otto von Guericke University Magdeburg,NA,NA
University of Education Freiburg,NA,NA
University of Freiburg,NA,NA
University of Greifswald,NA,NA
Hochschule Fresenius - University of Applied Sciences,NA,NA
Hamburg University of Applied Sciences,NA,NA
Technische Hochschule Lübeck,NA,NA
University of Regensburg,NA,NA
Karlsruhe Institute of Technology,NA,NA
Bucerius Law School,NA,NA
South Westphalia University of Applied Sciences,NA,NA
Catholic University of Eichstätt-Ingolstadt,NA,NA
Philipps-Universität Marburg,NA,NA
University of Applied Sciences Emden/Leer,NA,NA
SRH Distance Learning University,NA,NA
bbw Hochschule - University of Applied Sciences,NA,NA
Hamburg University of Technology,NA,NA
University of Siegen,NA,NA
Biberach University of Applied Sciences,NA,NA
Technical University of Darmstadt,NA,NA
University of Hildesheim,NA,NA
Ulm University,NA,NA
Leibniz University Hannover,NA,NA
University of Rostock,NA,NA
Kiel University of Applied Sciences,NA,NA
Ulm University of Applied Sciences,NA,NA
Bauhaus-Universität Weimar,NA,NA
Neu-Ulm University of Applied Sciences,NA,NA
Ludwig-Maximilians-Universität München,NA,NA
Technische Hochschule Mittelhessen University of Applied Sciences,NA,NA
European University Viadrina,NA,NA
Leuphana University Lüneburg,NA,NA
Goethe University Frankfurt,NA,NA
Hochschule der Bayerischen Wirtschaft (HDBW),NA,NA
Hochschule Hannover - University of Applied Sciences and Arts,NA,NA
Deutsches Elektronen-Synchrotron DESY,NA,NA
Fulda University of Applied Sciences,NA,NA
University of Augsburg,NA,NA
Folkwang University of the Arts,NA,NA
Hannover Medical School,NA,NA
Baden-Wuerttemberg Cooperative State University Heidenheim,NA,NA
Bremen University of Applied Sciences,NA,NA
Reutlingen University,NA,NA
Albstadt-Sigmaringen University,NA,NA
German Institute for Economic Research (DIW Berlin),NA,NA
Hertie School,NA,NA
Max Planck School of Cognition,NA,NA
Leibniz Institute of Ecological Urban and Regional Development (IOER),NA,NA
Paderborn University,NA,NA
University of Applied Sciences Ravensburg-Weingarten,NA,NA
Kiel University,NA,NA
OTH Regensburg,NA,NA
Kempten University of Applied Sciences,NA,NA
Offenburg University of Applied Sciences,NA,NA
Hamm-Lippstadt University of Applied Sciences,NA,NA
Bremerhaven University of Applied Sciences,NA,NA
Hochschule München University of Applied Sciences,NA,NA
Magdeburg-Stendal University of Applied Sciences,NA,NA
International Psychoanalytic University Berlin,NA,NA
Aschaffenburg University of Applied Sciences,NA,NA
Dortmund University of Applied Sciences and Arts,NA,NA
accadis Hochschule Bad Homburg | University of Applied Sciences,NA,NA
Kaiserslautern University of Applied Sciences,NA,NA
Eberswalde University for Sustainable Development,NA,NA
HHL Leipzig Graduate School of Management,NA,NA
OWL University of Applied Sciences and Arts,NA,NA
Neubrandenburg University of Applied Sciences,NA,NA
Brandenburg University of Applied Sciences,NA,NA
University of Erfurt,NA,NA
Helmholtz Centre for Environmental Research - UFZ,NA,NA
Frankfurt University of Applied Sciences,NA,NA
htw saar - University of Applied Sciences,NA,NA
Dresden International University,NA,NA
Technical University of Applied Sciences Augsburg,NA,NA
ASH Berlin,NA,NA
University of Education Schwäbisch Gmünd,NA,NA
Trier University of Applied Sciences,NA,NA
FH Münster University of Applied Sciences,NA,NA
Jade University of Applied Sciences Wilhelmshaven/Oldenburg/Elsfleth,NA,NA
Mainz University of Applied Sciences,NA,NA
Charité - Universitätsmedizin Berlin,NA,NA
Helmholtz-Zentrum Dresden-Rossendorf,NA,NA
Leibniz Institute for Natural Product Research and Infection Biology - Hans Knöll Institute,NA,NA
Nürtingen-Geislingen University,NA,NA
HTWG Konstanz - University of Applied Sciences,NA,NA
Hochschule Niederrhein - University of Applied Sciences,NA,NA
Max Planck Institute for the Structure and Dynamics of Matter,NA,NA
Max Planck Institute of Immunobiology and Epigenetics,NA,NA
Max Planck Institute for Marine Microbiology,NA,NA
Max Planck Institute of Biophysics,NA,NA
Max Planck Institute for Human Cognitive and Brain Sciences,NA,NA
Max Planck Institute for Meteorology,NA,NA
Max Planck Institute for the Study of Societies,NA,NA
Max Planck Institute for Informatics,NA,NA
Max Planck Institute for Biological Intelligence,NA,NA
German Cancer Research Center (DKFZ) Heidelberg,NA,NA
Hochschule für Technik Stuttgart - University of Applied Sciences,NA,NA
Friedensau Adventist University,NA,NA
University of Mannheim,NA,NA
FH Westküste University of Applied Sciences,NA,NA
Fachhochschule Wedel University of Applied Sciences,NA,NA
Ludwigshafen University of Business and Society,NA,NA
ifs Internationale Filmschule Köln,NA,NA
Witten/Herdecke University,NA,NA
University of Applied Sciences Koblenz,NA,NA
ESCP Berlin Campus,NA,NA
Aalen University,NA,NA
Merz Akademie,NA,NA
HSBA Hamburg School of Business Administration,NA,NA
Berliner Hochschule für Technik,NA,NA
Munich Intellectual Property Law Center,NA,NA
Bingen Technical University of Applied Sciences,NA,NA
HafenCity University Hamburg,NA,NA
University of Applied Sciences Jena,NA,NA
Max Planck Institute for Solid State Research,NA,NA
Clausthal University of Technology,NA,NA
Detmold University of Music,NA,NA
University of Vechta,NA,NA
The Max Planck Institute for Neurobiology of Behavior – caesar,NA,NA
Max Planck Law,NA,NA
University of Applied Sciences Kehl,NA,NA
University of Applied Sciences and Arts Hildesheim/Holzminden/Göttingen,NA,NA
RheinMain University of Applied Sciences,NA,NA
Hochschule der Medien Stuttgart,NA,NA
TRON – Translational Oncology at the University Medical Center of the Johannes Gutenberg University Mainz,NA,NA
Harz University of Applied Sciences,NA,NA
German Academic Exchange Service (DAAD),NA,NA
St. Ignatius of Loyola College,NA,NA
Vilnius University,NA,NA
Kaunas University of Technology,NA,NA
Vilnius Gediminas Technical University (VILNIUS TECH),NA,NA
Kazimieras Simonavicius University (KSU),NA,NA
Mykolas Romeris University,NA,NA
Vytautas Magnus University,NA,NA
Vilnius Academy of Arts,NA,NA
Klaipeda University,NA,NA
Kauno kolegija Higher Education Institution,NA,NA
SMK College of Applied Sciences,NA,NA
European Humanities University,NA,NA
ISM University of Management and Economics,NA,NA
Šiaulių valstybinė kolegija / Higher Education Institution,NA,NA
Lithuania Business University of Applied Sciences,NA,NA
Vilnius Business College / Higher Education Institution,NA,NA
Lithuanian Maritime Academy,NA,NA
Klaipėdos valstybinė kolegija / Higher Education Institution,NA,NA
Lithuanian University of Health Sciences,NA,NA
Lithuanian Sports University,NA,NA
LCC International University,NA,NA
Lithuanian Academy of Music and Theatre,NA,NA
Vilniaus kolegija / Higher Education Institution,NA,NA
Utenos kolegija / Higher Education Institution,NA,NA
Panevėžio kolegija / State Higher Education Institution,NA,NA
Kolpingo kolegija / Kolping Higher Education Institution,NA,NA
Université du Luxembourg,NA,NA
"University of Agder, South Norway",NA,NA
"UiT The Arctic University of Norway, North Norway",NA,NA
"Norwegian University of Life Sciences, East Norway",NA,NA
"OsloMet – Oslo Metropolitan University, East Norway",NA,NA
"Norwegian University of Science and Technology, East Norway",NA,NA
"UiT The Arctic University of Norway,",NA,NA
"Western Norway University of Applied Sciences, West Norway",NA,NA
"University of Oslo, East Norway",NA,NA
"University of Inland Norway, East Norway",NA,NA
"Kristiania University College, East Norway",NA,NA
"Fjellhaug International University College, East Norway",NA,NA
"University of Stavanger, West Norway",NA,NA
"BI Norwegian Business School, East Norway",NA,NA
"Norwegian University of Science and Technology, Mid Norway",NA,NA
"Nord University, North Norway",NA,NA
"Nord University, North Norway, Mid Norway",NA,NA
"University of South-Eastern Norway,",NA,NA
"NHH Norwegian School of Economics,",NA,NA
"Nord University, Mid Norway",NA,NA
"VID Specialized University, East Norway, West Norway",NA,NA
"Norwegian University of Life Sciences,",NA,NA
"NHH Norwegian School of Economics, West Norway",NA,NA
"Norwegian Academy of Music, East Norway",NA,NA
"Norwegian School of Sport Sciences,",NA,NA
"Molde University College – Specialized University in Logistics (HiMolde),",NA,NA
"BI Norwegian Business School,",NA,NA
"Norwegian University of Science and Technology, West Norway",NA,NA
"BI Norwegian Business School, East Norway, West Norway",NA,NA
"Østfold University College,",NA,NA
"NLA University College, South Norway",NA,NA
"Volda University College, West Norway",NA,NA
"MF Norwegian School of Theology, Religion and Society,",NA,NA
"NLA University College, West Norway",NA,NA
"Oslo School of Architecture and Design, East Norway",NA,NA
"Molde University College – Specialized University in Logistics (HiMolde), West Norway",NA,NA
"VID Specialized University, West Norway",NA,NA
"University of Bergen, West Norway",NA,NA
"OsloMet – Oslo Metropolitan University,",NA,NA
Jan Kochanowski University of Kielce,NA,NA
University of Wroclaw,NA,NA
SGH Warsaw School of Economics,NA,NA
Lodz University of Technology,NA,NA
Jagiellonian University in Kraków,NA,NA
Rzeszow University of Technology,NA,NA
Military University of Technology,NA,NA
Warsaw University of Technology,NA,NA
Military University of Aviation,NA,NA
Polish Air Force Academy,NA,NA
Poznań University of Life Sciences,NA,NA
University of Warmia and Mazury in Olsztyn,NA,NA
University of Agriculture in Krakow,NA,NA
Bachelor Studies - Agriculture,NA,NA
Wroclaw University of Environmental and Life Sciences,NA,NA
Interdisciplinary Bioeconomy Studies,NA,NA
University of Warsaw,NA,NA
University of Silesia in Katowice,NA,NA
University of Life Sciences in Lublin,NA,NA
University,NA,NA
University of Bialystok,NA,NA
University of Opole,NA,NA
Cracow University of Economics,NA,NA
Wrocław University of Science and Technology,NA,NA
Cracow University of Technology,NA,NA
Silesian University of Technology,NA,NA
Poznan University of Technology,NA,NA
University College of Enterprise and Administration in Lublin,NA,NA
Gdańsk University of Technology,NA,NA
Vistula University,NA,NA
Bialystok University of Technology,NA,NA
SWPS University,NA,NA
University of Lower Silesia,NA,NA
University of Arts In Poznan,NA,NA
Polish-Japanese Academy of Information Technology,NA,NA
The Eugeniusz Geppert Academy of Art and Design in Wrocław,NA,NA
Cinematography & Post-production,NA,NA
Jan Dlugosz University in Czestochowa,NA,NA
University of Arts in Poznan,NA,NA
Film Directing & Video Games,NA,NA
AGH University of Krakow,NA,NA
University of Zielona Gora,NA,NA
Silesian Univeristy of Technology,NA,NA
Lazarski University,NA,NA
University of Information Technology and Management,NA,NA
"Adam Mickiewicz University, Poznan",NA,NA
University of Szczecin,NA,NA
Nicolaus Copernicus University,NA,NA
Maria Curie-Skłodowska University,NA,NA
Medical University of Silesia,NA,NA
The John Paul II Catholic University of Lublin,NA,NA
Environmental and Plant Biotechnology,NA,NA
Warsaw School of Economics (SGH),NA,NA
Wroclaw University of Economics and Business,NA,NA
The University of Dąbrowa Górnicza,NA,NA
University of Social Sciences,NA,NA
Uniwersytet WSB Merito Chorzów,NA,NA
University of Economics in Katowice,NA,NA
Uniwersytet WSB Merito Warszawa,NA,NA
Collegium Civitas,NA,NA
WSG University,NA,NA
University of Lodz,NA,NA
AGH University of Science and Technology,NA,NA
Kielce University of Technology,NA,NA
Academy of Music in Cracow,NA,NA
The Karol Szymanowski Academy of Music in Katowice,NA,NA
Uniwersytet WSB Merito Poznan,NA,NA
University of Economics and Human Sciences in Warsaw,NA,NA
Wyższa Szkoła Biznesu - National Louis University,NA,NA
Uniwersytet WSB Merito Wrocław,NA,NA
University of Zielona Góra,NA,NA
University of Gdansk,NA,NA
Medical University of Lublin,NA,NA
Wrocław Medical University,NA,NA
Pomeranian Medical University in Szczecin,NA,NA
Medical University of Lodz,NA,NA
Poznan University of Medical Sciences,NA,NA
Medical University of Warsaw,NA,NA
Opole University of Technology,NA,NA
Poznań University of Economics and Business,NA,NA
Warsaw University of Life Sciences - SGGW,NA,NA
State Higher Vocational School in Walcz,NA,NA
Wszechnica Polska Academy of Applied Sciences in Warsaw,NA,NA
Czestochowa University of Technology,NA,NA
Uniwersytet WSB Merito Gdańsk,NA,NA
Uniwersytet WSB Merito Bydgoszcz,NA,NA
Poznan University of Economics and Business,NA,NA
Kozminski University,NA,NA
Wyższa Szkoła Bankowa w Łodzi,NA,NA
Uniwersytet WSB Merito Torun,NA,NA
Food Engineering,NA,NA
"Bachelor Studies- Food Processing, Safety and Quality",NA,NA
Wrocław University of Environmental and Life Sciences,NA,NA
Food Technology and Human Nutrition,NA,NA
University of Rzeszów,NA,NA
University of Humanities and Economics in Lodz,NA,NA
Academy of Physical Education in Katowice,NA,NA
Univeristy of Opole,NA,NA
Polish Naval Academy,NA,NA
Andrzej Frycz Modrzewski Krakow University,NA,NA
Wrocław University of Economics,NA,NA
University of Bielsko-Biala,NA,NA
The Karol Lipiński Academy of Music in Wrocław,NA,NA
"Adam Mickiewicz University, Poznań",NA,NA
Philological School of Higher Education in Wrocław,NA,NA
State University of Applied Sciences in Konin,NA,NA
Pomeranian University in Słupsk,NA,NA
Pomeranian University in Slupsk,NA,NA
Державна Вища Професійна Школа в Валчев,NA,NA
Krosno State College,NA,NA
Katowice School of Economics,NA,NA
Uniwersytet WSB Merito Opole,NA,NA
Siedlce University of Natural Sciences and Humanitiesis,NA,NA
Uniwersytet WSB Merito Szczecin,NA,NA
Kozminski University & ESCP Europe,NA,NA
Maritime University of Szczecin,NA,NA
Koszalin University of Technology,NA,NA
Kazimierz Wielki University,NA,NA
The Pontifical University of John Paul II in Krakow,NA,NA
Medical University of Gdańsk,NA,NA
Medical University of Bialystok,NA,NA
Nicolaus Copernicus University Collegium Medicum,NA,NA
The Grażyna and Kiejstut Bacewicz Academy of Music in Łódź,NA,NA
The Ignacy Jan Paderewski Academy of Music in Poznan,NA,NA
Medical University od Gdańsk,NA,NA
Jan Grodek State University in Sanok,NA,NA
The Pontifical University oh John Paul II in Krakow,NA,NA
Pedagogical University of Cracow,NA,NA
"Graduate School for Social Research, Institute of Philosophy & Sociology, Polish Academy of Sciences",NA,NA
Engineering and Management of Space Systems-EN,NA,NA
Siedlce University of Natural Sciences and Humanities,NA,NA
Vistula School of Hospitality,NA,NA
Poznan University of Life Sciences,NA,NA
Western Serbia Academy of Applied Studies - Uzice Department,NA,NA
Faculty of Economics - unit in Novi Sad,NA,NA
Faculty of Economics,NA,NA
Belgrade Business and Arts Academy of Applied Studies - Department of Business and Information Studies,NA,NA
College of Economics and Administration,NA,NA
Faculty of Drama Arts,NA,NA
Faculty of Contemporary Art,NA,NA
Academy of Arts,NA,NA
Academy of Arts Belgrade,NA,NA
ELEKTROTEHNIČKA ŠKOLA „MIJA STANIMIROVIć”,NA,NA
MAŠINSKO-ELEKTROTEHNIČKA ŠKOLA,NA,NA
TEHNIČKA ŠKOLA,NA,NA
PRVA TEHNIČKA ŠKOLA,NA,NA
ELEKTROTEHNIČKA ŠKOLA „NIKOLA TESLA”,NA,NA
ELEKTROTEHNIČKA ŠKOLA ZEMUN,NA,NA
ELEKTROTEHNIČKA ŠKOLA „MIHAJLO PUPIN”,NA,NA
TEHNIČKA ŠKOLA „9. MAJ”,NA,NA
University of Belgrade,NA,NA
Faculty of Economy,NA,NA
Faculty of Business and Law,NA,NA
School of Electrical Engineering,NA,NA
Faculty of Organizational Sciences,NA,NA
Singidunum University,NA,NA
Metropolitan University,NA,NA
Department of Agricultural - Business Studies and Tourism,NA,NA
Faculty of Agriculture,NA,NA
Educons University,NA,NA
Faculty of Agronomy,NA,NA
College of Applied Studies Aviation Academy,NA,NA
Faculty of Medicine,NA,NA
Faculty of Philosophy,NA,NA
Faculty of Technical Sciences,NA,NA
Faculty of Physics,NA,NA
Faculty of Applied Arts,NA,NA
Faculty of Sciences and Mathematics,NA,NA
Academy of Vocational Studies Šumadija - Аranđelovac Department,NA,NA
"Faculty for Applied Management, Economy and Finance",NA,NA
College of Applied Studies in Management and Business Communication,NA,NA
Department of Business Studies Blace,NA,NA
Faculty of Sciences,NA,NA
Faculty of Media and Communications,NA,NA
Faculty of Sport and Psychology,NA,NA
Faculty of Music Arts,NA,NA
Faculty of Diplomacy and Security,NA,NA
ŠKOLA PRIMENjENIH UMETNOSTI,NA,NA
TRGOVINSKA ŠKOLA,NA,NA
TRGOVAČKA ŠKOLA,NA,NA
Department School of Civil Engineering and Geodesy,NA,NA
Academy of Technical-Educational Vocational Studies Niš - Niš Department,NA,NA
State University of Novi Pazar,NA,NA
Faculty of Civil Engineering and Architecture,NA,NA
Faculty of Architecture,NA,NA
Union - Nikola Tesla University,NA,NA
