"University","Title","Level","Link","Duration_years","ECTS","Language"
"University of Oslo, East Norway","Education","Master","https://studyinnorway.no/study-opportunities/education",2,120,"English"
"University of Inland Norway, East Norway","Education for Diversity and Sustainable Living - Nordic perspectives in a global context","","https://studyinnorway.no/study-opportunities/education-diversity-and-sustainable-living-nordic-perspectives-global-context",NA,30,"English"
"Norwegian University of Science and Technology, Mid Norway","Electric Power Engineering - Master's Programme","Master","https://studyinnorway.no/study-opportunities/electric-power-engineering-masters-programme",2,120,"English"
"UiT The Arctic University of Norway, North Norway","Electrical Engineering - Master","Master","https://studyinnorway.no/study-opportunities/electrical-engineering-master",2,120,"English"
"University of Oslo, East Norway","Electronics, Informatics and Technology","Master","https://studyinnorway.no/study-opportunities/electronics-informatics-and-technology",2,120,"English"
"NHH Norwegian School of Economics,","Energy, Natural Resources and the Environment","Master","https://studyinnorway.no/study-opportunities/energy-natural-resources-and-environment",2,120,"English"
"University of Stavanger, West Norway","Energy, Reservoir and Earth Sciences - Master of Science Degree Programme","Master","https://studyinnorway.no/study-opportunities/energy-reservoir-and-earth-sciences-master-science-degree-programme",2,120,"English"
"UiT The Arctic University of Norway, North Norway","Engineering Design - Master","Master","https://studyinnorway.no/study-opportunities/engineering-design-master",2,120,"English"
"UiT The Arctic University of Norway,","English Acquisition and Multilingualism - master","Master","https://studyinnorway.no/study-opportunities/english-acquisition-and-multilingualism-master",2,120,"English"
"University of Stavanger, West Norway","English and Literacy Studies - Master's Degree Programme","Master","https://studyinnorway.no/study-opportunities/english-and-literacy-studies-masters-degree-programme",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","English Linguistics and Language Acquisition - Master's Programme","Master","https://studyinnorway.no/study-opportunities/english-linguistics-and-language-acquisition-masters-programme",2,120,"English"
"UiT The Arctic University of Norway,","English Literature - master","Master","https://studyinnorway.no/study-opportunities/english-literature-master",2,120,"English"
"BI Norwegian Business School, East Norway","Entrepreneurship and Innovation","Master","https://studyinnorway.no/study-opportunities/entrepreneurship-and-innovation",2,120,"English"
"University of Oslo, East Norway","Entrepreneurship and Innovation Management","Master","https://studyinnorway.no/study-opportunities/entrepreneurship-and-innovation-management",2,120,"English"
"University of Stavanger, West Norway","Environmental Engineering - Master of Science Degree Programme","Master","https://studyinnorway.no/study-opportunities/environmental-engineering-master-science-degree-programme",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Environmental Engineering - Master's Programme","Master","https://studyinnorway.no/study-opportunities/environmental-engineering-masters-programme",2,120,"English"
"UiT The Arctic University of Norway,","Environmental Law - master","Master","https://studyinnorway.no/study-opportunities/environmental-law-master",2,120,"English"
"University of South-Eastern Norway,","Environmental Technology","Master","https://studyinnorway.no/study-opportunities/environmental-technology",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Environmental Toxicology and Chemistry - Master's Programme","Master","https://studyinnorway.no/study-opportunities/environmental-toxicology-and-chemistry-masters-programme",2,120,"English"
"Norwegian Academy of Music, East Norway","European Cham­ber Music Mas­ter ECMAs­ter","Master","https://studyinnorway.no/study-opportunities/european-cham-ber-music-mas-ter-ecmas-ter",2,120,"English"
"University of Oslo, East Norway","European History","Master","https://studyinnorway.no/study-opportunities/european-history",2,120,"English"
"University of Oslo, East Norway","European Languages","Master","https://studyinnorway.no/study-opportunities/european-languages",2,120,"English"
"Norwegian University of Life Sciences, East Norway","European Master in Animal Breeding and Genetics","Master","https://studyinnorway.no/study-opportunities/european-master-animal-breeding-and-genetics",2,120,"English"
"University of Oslo, East Norway","European Master in Health Economics and Management","Master","https://studyinnorway.no/study-opportunities/european-master-health-economics-and-management",2,120,"English"
"Norwegian School of Sport Sciences,","European Master in Physical Activity and Health","Master","https://studyinnorway.no/study-opportunities/european-master-physical-activity-and-health",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","European Studies - Master's Programme","Master","https://studyinnorway.no/study-opportunities/european-studies-masters-programme",2,120,"English"
"Molde University College – Specialized University in Logistics (HiMolde),","Experience-based Master in Applied Informatics online","Master","https://studyinnorway.no/study-opportunities/experience-based-master-applied-informatics-online",NA,90,"English"
"University of Stavanger, West Norway","Extension studies in Music Performance","","https://studyinnorway.no/study-opportunities/extension-studies-music-performance",NA,60,"English"
"Nord University, Mid Norway","Film and TV Production, Bachelor","Bachelor","https://studyinnorway.no/study-opportunities/film-and-tv-production-bachelor",3,180,"English"
"BI Norwegian Business School,","Finance","Master","https://studyinnorway.no/study-opportunities/finance",2,120,"English"
